city, pop_2015, pop_2010, lat, lon
Pompano Beach,107,762,99,845,26.2426,-80.1290
Boulder,107,349,97,385,40.0175,-105.2797
Norwalk,107,140,105,549,33.9069,-118.0834
West Palm Beach,106,779,99,919,26.7483,-80.1266
Broken Arrow,106,563,98,850,36.0365,-95.7810
Daly City,106,562,101,123,37.7009,-122.4650
Sandy Springs,105,330,93,853,33.5615,-84.227
Burbank,105,319,103,340,34.1890,-118.3249
Green Bay,105,207,104,057,44.5207,-87.9842
Santa Maria,105,093,99,553,34.9332,-120.4438
Wichita Falls,104,710,104,553,33.9067,-98.5259
Lakeland,104,401,97,422,28.0411,-81.9589
Clovis,104,180,95,631,36.4931,-119.4211
Lewisville,104,039,95,290,33.0383,-97.0061
Tyler,103,700,96,900,32.35,-95.30
El Cajon,103,679,99,478,32.8017,-116.9605
San Mateo,103,536,97,207,37.5542,-122.3131
Rialto,103,132,99,171,34.1118,-117.3883
Edison,102,701,99,967,40.5040,-74.3494
Davenport,102,582,99,685,41.5541,-90.6040
Hillsboro,102,347,91,611,45.5167,-122.9833
Woodbridge,102,105,99,585,40.5608,-74.2926
Las Cruces,101,643,97,618,32.3197,-106.7653
South Bend,101,516,101,168,41.6769,-86.2690
Vista,100,890,93,834,33.1936,-117.2411
Greeley,100,883,92,889,40.4167,-104.7167
Davie,100,882,91,992,26.0814,-80.2803
San Angelo,100,450,93,200,31.45,-100.45
Jurupa Valley,100,314,0,33.0011,-117.4706
Renton,100,242,90,927,47.4867,-122.1953
